Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.740000,6.030000,5.710000,6.020000,6.020000,14944100
2019-01-03,5.950000,6.140000,5.920000,6.010000,6.010000,8521500
2019-01-04,6.070000,6.220000,6.060000,6.210000,6.210000,12364900
2019-01-07,6.210000,6.340000,6.170000,6.320000,6.320000,8823600
2019-01-08,6.350000,6.360000,6.220000,6.290000,6.290000,6943400
2019-01-09,6.280000,6.320000,6.190000,6.260000,6.260000,9698900
2019-01-10,6.230000,6.390000,6.210000,6.280000,6.280000,12027000
2019-01-11,6.240000,6.390000,6.220000,6.370000,6.370000,13963300
2019-01-14,6.320000,6.330000,6.180000,6.230000,6.230000,14392700
2019-01-15,6.220000,6.320000,6.100000,6.110000,6.110000,9759400
2019-01-16,6.130000,6.170000,6.020000,6.050000,6.050000,9511000
2019-01-17,6.030000,6.090000,5.990000,6.010000,6.010000,13623600
2019-01-18,6.070000,6.160000,6.020000,6.070000,6.070000,8620200
2019-01-22,6.050000,6.070000,5.960000,6.040000,6.040000,17559000
2019-01-23,6.030000,6.180000,6.010000,6.170000,6.170000,10361300
2019-01-24,6.160000,6.280000,6.110000,6.250000,6.250000,15685100
2019-01-25,6.250000,6.310000,6.150000,6.180000,6.180000,9708100
2019-01-28,6.110000,6.180000,6.010000,6.040000,6.040000,12560000
2019-01-29,6.030000,6.070000,5.970000,6.030000,6.030000,11493000
2019-01-30,6.040000,6.110000,5.970000,6.040000,6.040000,6581100
2019-01-31,6.000000,6.320000,6.000000,6.240000,6.240000,20190100
2019-02-01,6.170000,6.270000,6.160000,6.220000,6.220000,9742900
2019-02-04,6.220000,6.260000,6.190000,6.240000,6.240000,8190200
2019-02-05,6.230000,6.250000,5.830000,5.870000,5.870000,24559000
2019-02-06,5.870000,5.930000,5.790000,5.840000,5.840000,15559700
2019-02-07,5.880000,5.940000,5.760000,5.900000,5.900000,26282800
2019-02-08,5.870000,5.930000,5.760000,5.900000,5.900000,16713600
2019-02-11,5.900000,6.030000,5.870000,5.950000,5.950000,13142400
2019-02-12,5.990000,6.150000,5.970000,6.140000,6.140000,16417800
2019-02-13,6.140000,6.220000,6.100000,6.130000,6.130000,11850900
2019-02-14,6.120000,6.240000,6.100000,6.180000,6.180000,12578100
2019-02-15,6.200000,6.340000,6.180000,6.300000,6.300000,10302600
2019-02-19,6.290000,6.380000,6.270000,6.330000,6.330000,15201900
2019-02-20,6.300000,6.410000,6.260000,6.310000,6.310000,22288400
2019-02-21,6.300000,6.500000,6.300000,6.480000,6.480000,15466800
2019-02-22,6.490000,6.540000,6.400000,6.440000,6.440000,13318500
2019-02-25,6.470000,6.520000,6.410000,6.440000,6.440000,20620200
2019-02-26,6.420000,6.420000,6.300000,6.340000,6.340000,17361400
2019-02-27,6.320000,6.350000,6.260000,6.350000,6.350000,13103800
2019-02-28,6.350000,6.430000,6.330000,6.350000,6.350000,11780400
2019-03-01,6.350000,6.420000,6.340000,6.400000,6.400000,9734900
2019-03-04,6.430000,6.450000,6.370000,6.420000,6.420000,10585100
2019-03-05,6.410000,6.460000,6.360000,6.390000,6.390000,19704400
2019-03-06,6.360000,6.360000,6.070000,6.240000,6.240000,26542900
2019-03-07,6.190000,6.350000,6.180000,6.300000,6.300000,12735200
2019-03-08,6.240000,6.300000,6.100000,6.100000,6.100000,13497200
2019-03-11,6.110000,6.170000,6.040000,6.140000,6.140000,11704300
2019-03-12,6.140000,6.220000,6.100000,6.220000,6.220000,15670000
2019-03-13,6.220000,6.340000,6.200000,6.300000,6.300000,16367300
2019-03-14,6.310000,6.330000,6.220000,6.260000,6.260000,8167900
2019-03-15,6.280000,6.410000,6.270000,6.390000,6.390000,10686400
